Customer,Loan ID,Date Start,Amount,Date Finish,Duration
Jack Harris,loan_5,18-08-2014,23120,18-12-2014,4
Jack Harris,loan_6,10-08-2014,39100,10-06-2015,10
Jack Harris,loan_7,10-08-2015,51000,10-08-2016,12
Jack Harris,loan_8,21-08-2016,61710,21-07-2017,11
Jack Harris,loan_9,24-08-2017,40800,24-06-2018,10
Jack Harris,loan_10,08-08-2018,21080,08-12-2018,4
Jack Harris,loan_11,22-08-2018,30600,22-05-2019,9
Jack Harris,loan_12,11-08-2019,54400,11-04-2020,8
Jack Harris,loan_13,02-08-2020,16320,02-12-2020,4
Jack Harris,loan_14,08-08-2020,17000,08-12-2020,4
Jack Harris,loan_15,15-08-2020,61200,15-06-2021,10
Alfie Foster,loan_1,07-07-2010,115200,07-05-2011,10
Alfie Foster,loan_2,22-07-2011,54400,22-12-2011,5
Alfie Foster,loan_3,17-07-2011,67200,17-05-2012,10
Alfie Foster,loan_4,24-07-2012,134400,24-07-2013,12
Alfie Foster,loan_5,15-07-2013,30720,15-11-2013,4
Alfie Foster,loan_6,18-07-2013,55680,18-01-2014,6
Alfie Foster,loan_7,06-07-2014,51200,06-03-2015,8
Alfie Foster,loan_8,24-07-2015,91520,24-06-2016,11
Alfie Foster,loan_9,04-07-2016,105600,04-06-2017,11
Alfie Foster,loan_10,04-07-2017,88000,04-06-2018,11
Alfie Foster,loan_11,11-07-2018,33600,11-12-2018,5
Alfie Foster,loan_12,20-07-2018,64960,20-02-2019,7
Alfie Foster,loan_13,02-07-2019,149760,02-07-2020,12
Alfie Foster,loan_14,25-07-2020,57600,25-12-2020,5
Alfie Foster,loan_15,04-07-2020,40000,04-12-2020,5
Alfie Foster,loan_16,02-07-2020,109440,02-04-2021,9
Evelyn Chapman,loan_1,04-03-2010,68900,04-01-2011,10
Evelyn Chapman,loan_2,10-03-2011,71500,10-02-2012,11
Evelyn Chapman,loan_3,13-03-2012,35100,13-08-2012,5
Evelyn Chapman,loan_4,07-03-2012,42250,07-08-2012,5
Evelyn Chapman,loan_5,10-03-2012,42250,10-08-2012,5
Evelyn Chapman,loan_6,14-03-2012,78000,14-01-2013,10
Evelyn Chapman,loan_7,03-03-2013,70200,03-12-2013,9
Evelyn Chapman,loan_8,06-03-2013,78000,06-01-2014,10
Evelyn Chapman,loan_9,03-03-2014,35880,03-09-2014,6
Evelyn Chapman,loan_10,04-03-2014,74880,04-03-2015,12
Evelyn Chapman,loan_11,02-03-2015,78000,02-01-2016,10
Evelyn Chapman,loan_12,15-03-2016,35100,15-09-2016,6
Evelyn Chapman,loan_13,22-03-2016,88660,22-02-2017,11
Evelyn Chapman,loan_14,21-03-2017,35750,21-08-2017,5
Evelyn Chapman,loan_15,02-03-2017,42120,02-09-2017,6
Evelyn Chapman,loan_16,17-03-2017,67600,17-01-2018,10
Evelyn Chapman,loan_17,14-03-2018,47320,14-10-2018,7
Evelyn Chapman,loan_18,14-03-2018,52780,14-10-2018,7
Evelyn Chapman,loan_19,22-03-2018,68900,22-01-2019,10
Evelyn Chapman,loan_20,05-03-2019,38350,05-08-2019,5
Evelyn Chapman,loan_21,15-03-2019,25480,15-07-2019,4
Evelyn Chapman,loan_22,02-03-2019,50700,02-09-2019,6
Evelyn Chapman,loan_23,12-03-2019,46800,12-11-2019,8
Evelyn Chapman,loan_24,20-03-2019,57330,20-12-2019,9
Evelyn Chapman,loan_25,23-03-2019,43680,23-10-2019,7
Evelyn Chapman,loan_26,01-03-2019,23400,01-07-2019,4
Evelyn Chapman,loan_27,11-03-2019,93600,11-03-2020,12
Evelyn Chapman,loan_28,18-03-2020,29640,18-07-2020,4
Evelyn Chapman,loan_29,24-03-2020,63700,24-01-2021,10
Freddie Webb,loan_1,07-09-2010,47520,07-05-2011,8
Freddie Webb,loan_2,17-09-2011,43120,17-04-2012,7
Freddie Webb,loan_3,22-09-2012,27720,22-01-2013,4
Freddie Webb,loan_4,08-09-2013,70180,08-08-2014,11
Freddie Webb,loan_5,09-09-2014,39270,09-04-2015,7
Freddie Webb,loan_6,14-09-2015,35200,14-02-2016,5
Freddie Webb,loan_7,09-09-2016,41580,09-03-2017,6
Freddie Webb,loan_8,03-09-2017,40040,03-04-2018,7
Freddie Webb,loan_9,10-09-2018,67760,10-08-2019,11
Freddie Webb,loan_10,14-09-2019,81840,14-09-2020,12
Freddie Webb,loan_11,07-09-2020,62040,07-09-2021,12
Henry Stevens,loan_1,22-08-2010,27600,22-12-2010,4
Henry Stevens,loan_2,21-08-2010,69000,21-06-2011,10
Henry Stevens,loan_3,04-08-2011,27000,04-12-2011,4
Henry Stevens,loan_4,08-08-2011,102600,08-08-2012,12
Henry Stevens,loan_5,08-08-2012,107250,08-07-2013,11
Henry Stevens,loan_6,20-08-2013,100650,20-07-2014,11
Henry Stevens,loan_7,05-08-2014,90750,05-07-2015,11
Henry Stevens,loan_8,25-08-2015,55200,25-04-2016,8
Henry Stevens,loan_9,13-08-2016,45750,13-01-2017,5
Henry Stevens,loan_10,22-08-2017,55800,22-02-2018,6
Henry Stevens,loan_11,15-08-2018,87000,15-06-2019,10
Henry Stevens,loan_12,03-08-2019,45000,03-02-2020,6
Henry Stevens,loan_13,23-08-2020,46800,23-02-2021,6
Charlie Webb,loan_1,16-06-2010,58140,16-12-2010,6
Charlie Webb,loan_2,20-06-2010,81510,20-05-2011,11
Charlie Webb,loan_3,12-06-2011,104880,12-06-2012,12
Charlie Webb,loan_4,13-06-2012,62320,13-02-2013,8
Charlie Webb,loan_5,22-06-2013,39900,22-12-2013,6
Charlie Webb,loan_6,18-06-2013,62320,18-02-2014,8
Charlie Webb,loan_7,18-06-2014,91960,18-05-2015,11
Charlie Webb,loan_8,18-06-2015,33250,18-11-2015,5
Charlie Webb,loan_9,22-06-2015,81700,22-04-2016,10
Charlie Webb,loan_10,09-06-2016,75240,09-05-2017,11
Charlie Webb,loan_11,06-06-2017,65170,06-01-2018,7
Charlie Webb,loan_12,04-06-2018,69920,04-02-2019,8
Charlie Webb,loan_13,09-06-2019,92340,09-03-2020,9
Charlie Webb,loan_14,19-06-2020,49400,19-11-2020,5
Charlie Webb,loan_15,11-06-2020,42180,11-12-2020,6
Charlie Webb,loan_16,11-06-2020,73150,11-01-2021,7
Finley Jones,loan_1,13-01-2010,121380,13-08-2010,7
Finley Jones,loan_2,06-01-2010,114240,06-08-2010,7
Finley Jones,loan_3,07-01-2010,72080,07-05-2010,4
Finley Jones,loan_4,12-01-2010,135660,12-08-2010,7
Finley Jones,loan_5,02-01-2010,235620,02-12-2010,11
Finley Jones,loan_6,10-01-2010,122400,10-09-2010,8
Finley Jones,loan_7,15-01-2010,192780,15-10-2010,9
Finley Jones,loan_8,03-01-2010,102000,03-07-2010,6
Finley Jones,loan_9,19-01-2010,102000,19-06-2010,5
Finley Jones,loan_10,07-01-2010,82960,07-05-2010,4
Finley Jones,loan_11,25-01-2010,66640,25-05-2010,4
Finley Jones,loan_12,20-01-2010,126140,20-08-2010,7
Finley Jones,loan_13,02-01-2010,95880,02-07-2010,6
Finley Jones,loan_14,13-01-2010,98600,13-06-2010,5
Finley Jones,loan_15,23-01-2010,144160,23-09-2010,8
Finley Jones,loan_16,18-01-2010,125120,18-09-2010,8
Finley Jones,loan_17,11-01-2010,127840,11-09-2010,8
Finley Jones,loan_18,07-01-2010,200600,07-11-2010,10
Finley Jones,loan_19,09-01-2010,86700,09-06-2010,5
Finley Jones,loan_20,13-01-2010,108800,13-06-2010,5
Finley Jones,loan_21,13-01-2010,243100,13-12-2010,11
Finley Jones,loan_22,24-01-2010,138720,24-09-2010,8
Finley Jones,loan_23,16-01-2010,153000,16-10-2010,9
Finley Jones,loan_24,23-01-2010,190400,23-11-2010,10
Finley Jones,loan_25,07-01-2010,95200,07-06-2010,5
Finley Jones,loan_26,14-01-2010,194480,14-12-2010,11
Finley Jones,loan_27,11-01-2010,194480,11-12-2010,11
Finley Jones,loan_28,04-01-2010,204000,04-11-2010,10
Finley Jones,loan_29,22-01-2010,173400,22-11-2010,10
Finley Jones,loan_30,07-01-2010,228140,07-12-2010,11
Finley Jones,loan_31,19-01-2010,144160,19-09-2010,8
Finley Jones,loan_32,25-01-2010,85000,25-06-2010,5
Finley Jones,loan_33,17-01-2010,239360,17-12-2010,11
Finley Jones,loan_34,17-01-2010,220660,17-12-2010,11
Finley Jones,loan_35,12-01-2010,265200,12-01-2011,12
Finley Jones,loan_36,21-01-2011,133280,21-09-2011,8
Finley Jones,loan_37,03-01-2011,176800,03-11-2011,10
Finley Jones,loan_38,05-01-2011,153000,05-10-2011,9
Finley Jones,loan_39,10-01-2011,183600,10-10-2011,9
Finley Jones,loan_40,23-01-2011,174420,23-10-2011,9
Finley Jones,loan_41,06-01-2011,133280,06-09-2011,8
Finley Jones,loan_42,01-01-2011,93500,01-06-2011,5
Finley Jones,loan_43,20-01-2011,118320,20-07-2011,6
Finley Jones,loan_44,10-01-2011,144160,10-09-2011,8
Finley Jones,loan_45,08-01-2011,110500,08-06-2011,5
Finley Jones,loan_46,15-01-2011,232560,15-01-2012,12
Finley Jones,loan_47,23-01-2012,213180,23-12-2012,11
Finley Jones,loan_48,13-01-2012,205700,13-12-2012,11
Finley Jones,loan_49,13-01-2012,104040,13-07-2012,6
Finley Jones,loan_50,24-01-2012,102000,24-07-2012,6
Finley Jones,loan_51,22-01-2012,85000,22-06-2012,5
Finley Jones,loan_52,10-01-2012,248880,10-01-2013,12
Finley Jones,loan_53,01-01-2013,110160,01-07-2013,6
Finley Jones,loan_54,18-01-2013,66640,18-05-2013,4
Finley Jones,loan_55,13-01-2013,156060,13-10-2013,9
Finley Jones,loan_56,23-01-2013,100300,23-06-2013,5
Finley Jones,loan_57,13-01-2013,144160,13-09-2013,8
Finley Jones,loan_58,21-01-2013,228480,21-01-2014,12
Finley Jones,loan_59,17-01-2014,176800,17-11-2014,10
Finley Jones,loan_60,25-01-2014,102000,25-07-2014,6
Finley Jones,loan_61,08-01-2014,201960,08-12-2014,11
Finley Jones,loan_62,15-01-2014,138720,15-09-2014,8
Finley Jones,loan_63,24-01-2014,163200,24-09-2014,8
Finley Jones,loan_64,12-01-2014,128520,12-08-2014,7
Finley Jones,loan_65,22-01-2014,143820,22-10-2014,9
Finley Jones,loan_66,02-01-2014,156400,02-11-2014,10
Finley Jones,loan_67,10-01-2014,140420,10-08-2014,7
Finley Jones,loan_68,01-01-2014,159800,01-11-2014,10
Finley Jones,loan_69,08-01-2014,240720,08-01-2015,12
Finley Jones,loan_70,24-01-2015,257040,24-01-2016,12
Finley Jones,loan_71,04-01-2016,194480,04-12-2016,11
Finley Jones,loan_72,21-01-2016,165920,21-09-2016,8
Finley Jones,loan_73,15-01-2016,85680,15-05-2016,4
Finley Jones,loan_74,18-01-2016,149940,18-10-2016,9
Finley Jones,loan_75,12-01-2016,214200,12-11-2016,10
Finley Jones,loan_76,14-01-2016,187000,14-11-2016,10
Finley Jones,loan_77,01-01-2016,189720,01-10-2016,9
Finley Jones,loan_78,20-01-2016,155040,20-09-2016,8
Finley Jones,loan_79,03-01-2016,153000,03-10-2016,9
Finley Jones,loan_80,14-01-2016,85000,14-06-2016,5
Finley Jones,loan_81,13-01-2016,189720,13-10-2016,9
Finley Jones,loan_82,10-01-2016,162180,10-10-2016,9
Finley Jones,loan_83,04-01-2016,146880,04-10-2016,9
Finley Jones,loan_84,05-01-2016,62560,05-05-2016,4
Finley Jones,loan_85,06-01-2016,208080,06-01-2017,12
Finley Jones,loan_86,22-01-2017,63920,22-05-2017,4
Finley Jones,loan_87,02-01-2017,204000,02-01-2018,12
Finley Jones,loan_88,25-01-2018,205700,25-12-2018,11
Finley Jones,loan_89,09-01-2018,252960,09-01-2019,12
Finley Jones,loan_90,12-01-2019,128520,12-07-2019,6
Finley Jones,loan_91,09-01-2019,81600,09-05-2019,4
Finley Jones,loan_92,09-01-2019,208080,09-01-2020,12
Finley Jones,loan_93,10-01-2020,77520,10-05-2020,4
Finley Jones,loan_94,14-01-2020,149940,14-10-2020,9
Finley Jones,loan_95,20-01-2020,81600,20-06-2020,5
Finley Jones,loan_96,10-01-2020,228140,10-12-2020,11
Finley Jones,loan_97,03-01-2020,231880,03-12-2020,11
Finley Jones,loan_98,20-01-2020,183260,20-12-2020,11
Finley Jones,loan_99,21-01-2020,183260,21-12-2020,11
Finley Jones,loan_100,18-01-2020,121380,18-08-2020,7
Finley Jones,loan_101,03-01-2020,236640,03-01-2021,12
Phoebe Owen,loan_1,10-07-2010,61200,10-04-2011,9
Phoebe Owen,loan_2,11-07-2011,122400,11-04-2012,9
Phoebe Owen,loan_3,05-07-2012,79560,05-01-2013,6
Phoebe Owen,loan_4,23-07-2013,46240,23-11-2013,4
Phoebe Owen,loan_5,23-07-2013,43520,23-11-2013,4
Phoebe Owen,loan_6,18-07-2013,51000,18-12-2013,5
Phoebe Owen,loan_7,20-07-2013,150960,20-07-2014,12
Phoebe Owen,loan_8,15-07-2014,46240,15-11-2014,4
Phoebe Owen,loan_9,09-07-2014,40800,09-11-2014,4
Phoebe Owen,loan_10,06-07-2014,46920,06-01-2015,6
Phoebe Owen,loan_11,03-07-2015,49300,03-12-2015,5
Phoebe Owen,loan_12,01-07-2015,97920,01-03-2016,8
Phoebe Owen,loan_13,13-07-2016,115940,13-06-2017,11
Phoebe Owen,loan_14,08-07-2017,49300,08-12-2017,5
Phoebe Owen,loan_15,17-07-2017,67320,17-04-2018,9
Phoebe Owen,loan_16,25-07-2018,44880,25-11-2018,4
Phoebe Owen,loan_17,23-07-2018,88740,23-04-2019,9
Phoebe Owen,loan_18,09-07-2019,122400,09-05-2020,10
Phoebe Owen,loan_19,10-07-2020,80920,10-02-2021,7
Elsie Matthews,loan_1,23-05-2010,140980,23-12-2010,7
Elsie Matthews,loan_2,14-05-2010,93100,14-10-2010,5
Elsie Matthews,loan_3,25-05-2010,188100,25-04-2011,11
Elsie Matthews,loan_4,23-05-2011,171000,23-03-2012,10
Elsie Matthews,loan_5,18-05-2012,91200,18-10-2012,5
Elsie Matthews,loan_6,19-05-2012,238260,19-04-2013,11
Elsie Matthews,loan_7,09-05-2013,217360,09-04-2014,11
Elsie Matthews,loan_8,13-05-2014,171000,13-02-2015,9
Elsie Matthews,loan_9,20-05-2015,229900,20-04-2016,11
Elsie Matthews,loan_10,13-05-2016,68400,13-09-2016,4
Elsie Matthews,loan_11,20-05-2016,214320,20-05-2017,12
Elsie Matthews,loan_12,16-05-2017,170240,16-12-2017,7
Elsie Matthews,loan_13,06-05-2017,228000,06-03-2018,10
Elsie Matthews,loan_14,11-05-2018,85500,11-10-2018,5
Elsie Matthews,loan_15,15-05-2018,152000,15-01-2019,8
Elsie Matthews,loan_16,16-05-2019,122360,16-12-2019,7
Elsie Matthews,loan_17,15-05-2019,119700,15-10-2019,5
Elsie Matthews,loan_18,09-05-2019,208620,09-02-2020,9
Elsie Matthews,loan_19,20-05-2020,143640,20-11-2020,6
Elsie Matthews,loan_20,23-05-2020,102600,23-11-2020,6
Elsie Matthews,loan_21,19-05-2020,89300,19-10-2020,5
Elsie Matthews,loan_22,23-05-2020,109440,23-11-2020,6
Elsie Matthews,loan_23,04-05-2020,91200,04-09-2020,4
Elsie Matthews,loan_24,14-05-2020,259160,14-04-2021,11
Lily Matthews,loan_1,22-12-2010,154560,22-12-2011,12
Lily Matthews,loan_2,05-12-2011,70150,05-05-2012,5
Lily Matthews,loan_3,14-12-2012,116380,14-11-2013,11
Lily Matthews,loan_4,21-12-2013,104880,21-08-2014,8
Lily Matthews,loan_5,14-12-2014,95680,14-08-2015,8
Lily Matthews,loan_6,06-12-2015,126270,06-09-2016,9
Lily Matthews,loan_7,17-12-2016,108100,17-10-2017,10
Lily Matthews,loan_8,14-12-2017,149040,14-12-2018,12
Lily Matthews,loan_9,06-12-2018,83720,06-07-2019,7
Lily Matthews,loan_10,18-12-2019,82800,18-08-2020,8
Lily Matthews,loan_11,20-12-2020,49680,20-04-2021,4
Arlo Davidson,loan_1,25-02-2010,42240,25-01-2011,11
Arlo Davidson,loan_2,18-02-2011,12000,18-06-2011,4
Arlo Davidson,loan_3,06-02-2011,37800,06-11-2011,9
Arlo Davidson,loan_4,03-02-2011,32640,03-10-2011,8
Arlo Davidson,loan_5,18-02-2011,30720,18-10-2011,8
Arlo Davidson,loan_6,25-02-2011,19320,25-09-2011,7
Arlo Davidson,loan_7,05-02-2011,40920,05-01-2012,11
Arlo Davidson,loan_8,11-02-2012,14400,11-08-2012,6
Arlo Davidson,loan_9,08-02-2012,37440,08-02-2013,12
Arlo Davidson,loan_10,07-02-2013,21120,07-10-2013,8
Arlo Davidson,loan_11,14-02-2013,21600,14-08-2013,6
Arlo Davidson,loan_12,12-02-2013,33480,12-11-2013,9
Arlo Davidson,loan_13,18-02-2013,19440,18-08-2013,6
Arlo Davidson,loan_14,18-02-2013,29160,18-11-2013,9
Arlo Davidson,loan_15,11-02-2013,38280,11-01-2014,11
Arlo Davidson,loan_16,14-02-2014,33600,14-12-2014,10
Arlo Davidson,loan_17,01-02-2014,46200,01-01-2015,11
Arlo Davidson,loan_18,23-02-2015,23760,23-11-2015,9
Arlo Davidson,loan_19,02-02-2015,39960,02-11-2015,9
Arlo Davidson,loan_20,23-02-2015,17760,23-06-2015,4
Arlo Davidson,loan_21,14-02-2015,43200,14-12-2015,10
Arlo Davidson,loan_22,15-02-2015,35640,15-01-2016,11
Arlo Davidson,loan_23,22-02-2016,19200,22-07-2016,5
Arlo Davidson,loan_24,13-02-2016,19440,13-08-2016,6
Arlo Davidson,loan_25,22-02-2016,33600,22-09-2016,7
Arlo Davidson,loan_26,24-02-2016,16200,24-07-2016,5
Arlo Davidson,loan_27,23-02-2016,24000,23-07-2016,5
Arlo Davidson,loan_28,04-02-2016,23040,04-08-2016,6
Arlo Davidson,loan_29,12-02-2016,23400,12-07-2016,5
Arlo Davidson,loan_30,24-02-2016,40320,24-02-2017,12
Arlo Davidson,loan_31,12-02-2017,48840,12-01-2018,11
Arlo Davidson,loan_32,11-02-2018,13800,11-07-2018,5
Arlo Davidson,loan_33,19-02-2018,31200,19-12-2018,10
Arlo Davidson,loan_34,22-02-2018,13440,22-06-2018,4
Arlo Davidson,loan_35,23-02-2018,11040,23-06-2018,4
Arlo Davidson,loan_36,25-02-2018,40320,25-02-2019,12
Arlo Davidson,loan_37,06-02-2019,31680,06-02-2020,12
Arlo Davidson,loan_38,15-02-2020,21840,15-09-2020,7
Arlo Davidson,loan_39,25-02-2020,13800,25-07-2020,5
Arlo Davidson,loan_40,07-02-2020,46800,07-12-2020,10
Arlo Davidson,loan_41,24-02-2020,27720,24-09-2020,7
Arlo Davidson,loan_42,10-02-2020,21120,10-10-2020,8
Arlo Davidson,loan_43,19-02-2020,44400,19-12-2020,10
Arlo Davidson,loan_44,08-02-2020,10560,08-06-2020,4
Arlo Davidson,loan_45,11-02-2020,23040,11-10-2020,8
Arlo Davidson,loan_46,10-02-2020,15840,10-06-2020,4
Arlo Davidson,loan_47,23-02-2020,26880,23-10-2020,8
Arlo Davidson,loan_48,02-02-2020,40320,02-02-2021,12
Poppy Payne,loan_1,19-01-2010,128520,19-08-2010,7
Poppy Payne,loan_2,13-01-2010,97200,13-07-2010,6
Poppy Payne,loan_3,10-01-2010,168480,10-01-2011,12
Poppy Payne,loan_4,04-01-2011,162360,04-12-2011,11
Poppy Payne,loan_5,06-01-2011,93600,06-06-2011,5
Poppy Payne,loan_6,15-01-2011,79920,15-07-2011,6
Poppy Payne,loan_7,03-01-2011,66240,03-05-2011,4
Poppy Payne,loan_8,08-01-2011,123840,08-09-2011,8
Poppy Payne,loan_9,25-01-2011,79200,25-06-2011,5
Poppy Payne,loan_10,02-01-2011,185760,02-01-2012,12
Poppy Payne,loan_11,17-01-2012,91800,17-06-2012,5
Poppy Payne,loan_12,24-01-2012,61920,24-05-2012,4
Poppy Payne,loan_13,25-01-2012,194400,25-11-2012,10
Poppy Payne,loan_14,13-01-2012,217800,13-12-2012,11
Poppy Payne,loan_15,11-01-2012,194400,11-01-2013,12
Poppy Payne,loan_16,10-01-2013,66600,10-06-2013,5
Poppy Payne,loan_17,11-01-2013,103680,11-09-2013,8
Poppy Payne,loan_18,08-01-2013,178200,08-12-2013,11
Poppy Payne,loan_19,24-01-2013,198000,24-12-2013,11
Poppy Payne,loan_20,23-01-2013,159840,23-01-2014,12
Poppy Payne,loan_21,06-01-2014,228960,06-01-2015,12
Poppy Payne,loan_22,08-01-2015,228960,08-01-2016,12
Poppy Payne,loan_23,07-01-2016,97200,07-06-2016,5
Poppy Payne,loan_24,20-01-2016,168480,20-10-2016,9
Poppy Payne,loan_25,09-01-2016,97200,09-06-2016,5
Poppy Payne,loan_26,18-01-2016,136800,18-11-2016,10
Poppy Payne,loan_27,05-01-2016,59040,05-05-2016,4
Poppy Payne,loan_28,12-01-2016,57600,12-05-2016,4
Poppy Payne,loan_29,08-01-2016,110880,08-08-2016,7
Poppy Payne,loan_30,10-01-2016,172800,10-11-2016,10
Poppy Payne,loan_31,23-01-2016,203040,23-01-2017,12
Poppy Payne,loan_32,18-01-2017,123120,18-10-2017,9
Poppy Payne,loan_33,17-01-2017,190080,17-01-2018,12
Poppy Payne,loan_34,08-01-2018,113400,08-10-2018,9
Poppy Payne,loan_35,13-01-2018,190080,13-01-2019,12
Poppy Payne,loan_36,13-01-2019,198000,13-11-2019,10
Poppy Payne,loan_37,18-01-2019,123840,18-09-2019,8
Poppy Payne,loan_38,01-01-2019,169200,01-11-2019,10
Poppy Payne,loan_39,06-01-2019,224640,06-01-2020,12
Poppy Payne,loan_40,09-01-2020,66240,09-05-2020,4
Poppy Payne,loan_41,05-01-2020,145800,05-10-2020,9
Poppy Payne,loan_42,25-01-2020,64800,25-06-2020,5
Poppy Payne,loan_43,10-01-2020,77760,10-07-2020,6
Poppy Payne,loan_44,17-01-2020,82080,17-07-2020,6
Poppy Payne,loan_45,10-01-2020,112320,10-07-2020,6
Poppy Payne,loan_46,12-01-2020,88200,12-06-2020,5
Poppy Payne,loan_47,20-01-2020,152280,20-10-2020,9
Poppy Payne,loan_48,07-01-2020,116640,07-10-2020,9
Poppy Payne,loan_49,10-01-2020,190080,10-01-2021,12
Isaac Owen,loan_1,21-02-2010,62640,21-08-2010,6
Isaac Owen,loan_2,17-02-2010,40600,17-07-2010,5
Isaac Owen,loan_3,23-02-2010,58000,23-10-2010,8
Isaac Owen,loan_4,01-02-2010,135720,01-02-2011,12
Isaac Owen,loan_5,01-02-2011,45240,01-06-2011,4
Isaac Owen,loan_6,07-02-2011,66120,07-08-2011,6
Isaac Owen,loan_7,10-02-2011,38280,10-08-2011,6
Isaac Owen,loan_8,22-02-2011,110200,22-12-2011,10
Isaac Owen,loan_9,23-02-2011,76560,23-01-2012,11
Isaac Owen,loan_10,03-02-2012,76560,03-01-2013,11
Isaac Owen,loan_11,22-02-2013,82940,22-01-2014,11
Isaac Owen,loan_12,14-02-2014,37120,14-06-2014,4
Isaac Owen,loan_13,14-02-2014,80040,14-02-2015,12
Isaac Owen,loan_14,04-02-2015,53360,04-10-2015,8
Isaac Owen,loan_15,08-02-2015,125280,08-02-2016,12
Isaac Owen,loan_16,19-02-2016,114840,19-01-2017,11
Isaac Owen,loan_17,25-02-2017,36250,25-07-2017,5
Isaac Owen,loan_18,11-02-2017,89320,11-01-2018,11
Isaac Owen,loan_19,01-02-2018,88160,01-10-2018,8
Isaac Owen,loan_20,23-02-2018,76560,23-10-2018,8
Isaac Owen,loan_21,04-02-2018,39150,04-07-2018,5
Isaac Owen,loan_22,15-02-2018,104400,15-02-2019,12
Isaac Owen,loan_23,01-02-2019,78880,01-10-2019,8
