Ivy Allen , loan_1 , 12000 , 6600.0 , 0.55 , 7
Daisy Baker , loan_4 , 13000 , 4160.0 , 0.32 , 1
Daisy Baker , loan_5 , 13000 , 4030.0 , 0.31 , 1
Daisy Baker , loan_6 , 13000 , 2990.0 , 0.23 , 2
Daisy Baker , loan_7 , 13000 , 4420.0 , 0.34 , 2
Daisy Baker , loan_8 , 13000 , 3250.0 , 0.25 , 0
Daisy Baker , loan_9 , 13000 , 4420.0 , 0.34 , 1
Daisy Baker , loan_10 , 13000 , 4290.0 , 0.33 , 2
Daisy Baker , loan_11 , 13000 , 4290.0 , 0.33 , 2
Daisy Baker , loan_12 , 13000 , 4420.0 , 0.34 , 0
Daisy Baker , loan_13 , 13000 , 3510.0 , 0.27 , 2
Daisy Baker , loan_14 , 13000 , 4290.0 , 0.33 , 2
Daisy Baker , loan_15 , 13000 , 4550.0 , 0.35 , 5
Isaac Adams , loan_1 , 25000 , 15500.0 , 0.62 , 4
Isaac Adams , loan_2 , 25000 , 11500.0 , 0.46 , 3
Isaac Adams , loan_3 , 25000 , 13500.0 , 0.54 , 1
Isaac Adams , loan_4 , 25000 , 15000.0 , 0.6 , 1
Isaac Adams , loan_5 , 25000 , 15750.0 , 0.63 , 3
Isaac Adams , loan_6 , 25000 , 15750.0 , 0.63 , 2
Isaac Adams , loan_7 , 25000 , 14000.0 , 0.56 , 2
Isaac Adams , loan_8 , 25000 , 13250.0 , 0.53 , 15
Isaac Adams , loan_9 , 25000 , 12500.0 , 0.5 , 5
Isaac Adams , loan_10 , 25000 , 12000.0 , 0.48 , 12
Isaac Adams , loan_11 , 25000 , 11750.0 , 0.47 , 2
Isaac Adams , loan_12 , 25000 , 13250.0 , 0.53 , 2
Isaac Adams , loan_13 , 25000 , 13250.0 , 0.53 , 6
Isaac Adams , loan_14 , 25000 , 15250.0 , 0.61 , 6
Isaac Adams , loan_15 , 25000 , 14750.0 , 0.59 , 6
Isaac Adams , loan_16 , 25000 , 12750.0 , 0.51 , 3
Emily Baker , loan_1 , 13000 , 2860.0 , 0.22 , 2
Emily Baker , loan_2 , 13000 , 4290.0 , 0.33 , 1
Emily Baker , loan_3 , 13000 , 3510.0 , 0.27 , 0
Emily Baker , loan_4 , 13000 , 2990.0 , 0.23 , 2
Emily Baker , loan_5 , 13000 , 4550.0 , 0.35 , 2
Emily Baker , loan_6 , 13000 , 5200.0 , 0.4 , 0
Emily Baker , loan_7 , 13000 , 3380.0 , 0.26 , 4
Emily Baker , loan_8 , 13000 , 2730.0 , 0.21 , 0
Emily Baker , loan_9 , 13000 , 3120.0 , 0.24 , 3
Emily Baker , loan_10 , 13000 , 2860.0 , 0.22 , 0
Emily Baker , loan_11 , 13000 , 5070.0 , 0.39 , 6
Emily Baker , loan_12 , 13000 , 2860.0 , 0.22 , 6
Emily Baker , loan_13 , 13000 , 3380.0 , 0.26 , 2
Emily Baker , loan_14 , 13000 , 5070.0 , 0.39 , 2
Emily Baker , loan_15 , 13000 , 2600.0 , 0.2 , 0
Emily Baker , loan_16 , 13000 , 2860.0 , 0.22 , 0
Emily Baker , loan_17 , 13000 , 2600.0 , 0.2 , 1
Isabella Burton , loan_1 , 21000 , 6930.0 , 0.33 , 0
Isabella Burton , loan_2 , 21000 , 5880.0 , 0.28 , 1
Isabella Burton , loan_3 , 21000 , 6300.0 , 0.3 , 1
Isabella Burton , loan_4 , 21000 , 5880.0 , 0.28 , 1
Isabella Burton , loan_5 , 21000 , 6510.0 , 0.31 , 1
Isabella Burton , loan_6 , 21000 , 6510.0 , 0.31 , 0
Isabella Burton , loan_7 , 21000 , 7770.0 , 0.37 , 1
Isabella Burton , loan_8 , 21000 , 6090.0 , 0.29 , 0
Isabella Burton , loan_9 , 21000 , 5670.0 , 0.27 , 1
Isabella Burton , loan_10 , 21000 , 7560.0 , 0.36 , 3
Isabella Burton , loan_11 , 21000 , 5040.0 , 0.24 , 0
Isabella Burton , loan_12 , 21000 , 5250.0 , 0.25 , 0
Isabella Burton , loan_13 , 21000 , 4200.0 , 0.2 , 0
Isabella Burton , loan_14 , 21000 , 6090.0 , 0.29 , 2
Isabella Burton , loan_15 , 21000 , 7980.0 , 0.38 , 2
Isabella Burton , loan_16 , 21000 , 7980.0 , 0.38 , 1
Isabella Burton , loan_17 , 21000 , 6510.0 , 0.31 , 2
Isabella Burton , loan_18 , 21000 , 6720.0 , 0.32 , 1
Isabella Burton , loan_19 , 21000 , 8190.0 , 0.39 , 1
Leo Black , loan_1 , 35000 , 9100.0 , 0.26 , 3
Leo Black , loan_2 , 35000 , 13650.0 , 0.39 , 4
Leo Black , loan_3 , 35000 , 13650.0 , 0.39 , 2
Leo Black , loan_4 , 35000 , 12600.0 , 0.36 , 1
Leo Black , loan_5 , 35000 , 7700.0 , 0.22 , 0
Leo Black , loan_6 , 35000 , 10850.0 , 0.31 , 0
Leo Black , loan_7 , 35000 , 13300.0 , 0.38 , 1
Leo Black , loan_8 , 35000 , 10850.0 , 0.31 , 2
Leo Black , loan_9 , 35000 , 8050.0 , 0.23 , 2
Leo Black , loan_10 , 35000 , 9450.0 , 0.27 , 1
Leo Black , loan_11 , 35000 , 11550.0 , 0.33 , 0
Leo Black , loan_12 , 35000 , 8400.0 , 0.24 , 0
Leo Black , loan_13 , 35000 , 7700.0 , 0.22 , 2
Leo Black , loan_14 , 35000 , 14000.0 , 0.4 , 2
Leo Black , loan_15 , 35000 , 14000.0 , 0.4 , 2
Leo Black , loan_16 , 35000 , 11900.0 , 0.34 , 0
Theo Burton , loan_1 , 32000 , 8640.0 , 0.27 , 1
Theo Burton , loan_2 , 32000 , 6400.0 , 0.2 , 5
Theo Burton , loan_3 , 32000 , 8640.0 , 0.27 , 2
Theo Burton , loan_4 , 32000 , 10560.0 , 0.33 , 0
Theo Burton , loan_5 , 32000 , 11840.0 , 0.37 , 3
Theo Burton , loan_6 , 32000 , 10240.0 , 0.32 , 0
Theo Burton , loan_7 , 32000 , 11200.0 , 0.35 , 0
Theo Burton , loan_8 , 32000 , 11840.0 , 0.37 , 1
Theo Burton , loan_9 , 32000 , 6720.0 , 0.21 , 1
Theo Burton , loan_10 , 32000 , 8320.0 , 0.26 , 1
Theo Burton , loan_11 , 32000 , 8320.0 , 0.26 , 2
Theo Burton , loan_12 , 32000 , 10880.0 , 0.34 , 0
Theo Burton , loan_13 , 32000 , 7680.0 , 0.24 , 0
Theo Burton , loan_14 , 32000 , 11200.0 , 0.35 , 3
Theo Burton , loan_15 , 32000 , 7680.0 , 0.24 , 1
Charlie Davidson , loan_1 , 40000 , 15600.0 , 0.39 , 0
Charlie Davidson , loan_2 , 40000 , 11600.0 , 0.29 , 0
Charlie Davidson , loan_3 , 40000 , 14800.0 , 0.37 , 2
Charlie Davidson , loan_4 , 40000 , 11200.0 , 0.28 , 3
Charlie Davidson , loan_5 , 40000 , 9200.0 , 0.23 , 0
Charlie Davidson , loan_6 , 40000 , 8000.0 , 0.2 , 1
Charlie Davidson , loan_7 , 40000 , 14400.0 , 0.36 , 2
Charlie Davidson , loan_8 , 40000 , 9600.0 , 0.24 , 1
Charlie Davidson , loan_9 , 40000 , 8400.0 , 0.21 , 2
Charlie Davidson , loan_10 , 40000 , 11600.0 , 0.29 , 1
Charlie Davidson , loan_11 , 40000 , 12800.0 , 0.32 , 0
Charlie Davidson , loan_12 , 40000 , 8400.0 , 0.21 , 0
Charlie Davidson , loan_13 , 40000 , 15200.0 , 0.38 , 2
Charlie Davidson , loan_14 , 40000 , 14400.0 , 0.36 , 0
Charlie Davidson , loan_15 , 40000 , 10000.0 , 0.25 , 0
Tommy White , loan_1 , 15000 , 7650.0 , 0.51 , 9
Tommy White , loan_2 , 15000 , 6900.0 , 0.46 , 4
Tommy White , loan_3 , 15000 , 8700.0 , 0.58 , 4
Tommy White , loan_4 , 15000 , 7650.0 , 0.51 , 7
Tommy White , loan_5 , 15000 , 7350.0 , 0.49 , 8
Tommy White , loan_6 , 15000 , 7200.0 , 0.48 , 3
Tommy White , loan_7 , 15000 , 7950.0 , 0.53 , 7
Tommy White , loan_8 , 15000 , 9450.0 , 0.63 , 3
Tommy White , loan_9 , 15000 , 8250.0 , 0.55 , 0
Tommy White , loan_10 , 15000 , 7500.0 , 0.5 , 0
Tommy White , loan_11 , 15000 , 7950.0 , 0.53 , 4
Tommy White , loan_12 , 15000 , 8100.0 , 0.54 , 5
Tommy White , loan_13 , 15000 , 8700.0 , 0.58 , 1
Tommy White , loan_14 , 15000 , 7650.0 , 0.51 , 4
Tommy White , loan_15 , 15000 , 8850.0 , 0.59 , 10
Tommy White , loan_16 , 15000 , 9000.0 , 0.6 , 15
Noah Holmes , loan_1 , 27000 , 10800.0 , 0.4 , 1
Noah Holmes , loan_2 , 27000 , 9450.0 , 0.35 , 3
Noah Holmes , loan_3 , 27000 , 11880.0 , 0.44 , 3
Noah Holmes , loan_4 , 27000 , 14580.0 , 0.54 , 1
Noah Holmes , loan_5 , 27000 , 11880.0 , 0.44 , 2
Noah Holmes , loan_6 , 27000 , 11070.0 , 0.41 , 2
Noah Holmes , loan_7 , 27000 , 11070.0 , 0.41 , 6
Noah Holmes , loan_8 , 27000 , 12150.0 , 0.45 , 1
Noah Holmes , loan_9 , 27000 , 12420.0 , 0.46 , 4
Noah Holmes , loan_10 , 27000 , 9450.0 , 0.35 , 8
Noah Holmes , loan_11 , 27000 , 10530.0 , 0.39 , 3
Noah Holmes , loan_12 , 27000 , 9450.0 , 0.35 , 2
Noah Holmes , loan_13 , 27000 , 12690.0 , 0.47 , 3
Noah Holmes , loan_14 , 27000 , 13500.0 , 0.5 , 2
Noah Holmes , loan_15 , 27000 , 14850.0 , 0.55 , 4
Isla Adams , loan_1 , 17000 , 8330.0 , 0.49 , 0
Isla Adams , loan_2 , 17000 , 8670.0 , 0.51 , 2
Isla Adams , loan_3 , 17000 , 6120.0 , 0.36 , 3
Isla Adams , loan_4 , 17000 , 7820.0 , 0.46 , 2
Isla Adams , loan_5 , 17000 , 9350.0 , 0.55 , 6
Isla Adams , loan_6 , 17000 , 9350.0 , 0.55 , 1
Isla Adams , loan_7 , 17000 , 7140.0 , 0.42 , 2
Isla Adams , loan_8 , 17000 , 8160.0 , 0.48 , 4
Isla Adams , loan_9 , 17000 , 5950.0 , 0.35 , 1
Isla Adams , loan_10 , 17000 , 8330.0 , 0.49 , 3
Isla Adams , loan_11 , 17000 , 6290.0 , 0.37 , 4
Isla Adams , loan_12 , 17000 , 7480.0 , 0.44 , 3
Isla Adams , loan_13 , 17000 , 7820.0 , 0.46 , 5
Isla Adams , loan_14 , 17000 , 8840.0 , 0.52 , 7
Isla Adams , loan_15 , 17000 , 7820.0 , 0.46 , 4
Isla Adams , loan_16 , 17000 , 6970.0 , 0.41 , 3
Isla Adams , loan_17 , 17000 , 9010.0 , 0.53 , 2
Isla Adams , loan_18 , 17000 , 6120.0 , 0.36 , 3
Isla Allen , loan_1 , 31000 , 19530.0 , 0.63 , 8
Isla Allen , loan_2 , 31000 , 16120.0 , 0.52 , 6
Isla Allen , loan_3 , 31000 , 18910.0 , 0.61 , 0
Isla Allen , loan_4 , 31000 , 18910.0 , 0.61 , 4
Isla Allen , loan_5 , 31000 , 16430.0 , 0.53 , 5
Isla Allen , loan_6 , 31000 , 14260.0 , 0.46 , 4
Isla Allen , loan_7 , 31000 , 18600.0 , 0.6 , 1
Isla Allen , loan_8 , 31000 , 16120.0 , 0.52 , 6
Isla Allen , loan_9 , 31000 , 15500.0 , 0.5 , 4
Isla Allen , loan_10 , 31000 , 18910.0 , 0.61 , 9
Isla Allen , loan_11 , 31000 , 18290.0 , 0.59 , 2
Isla Allen , loan_12 , 31000 , 15810.0 , 0.51 , 6
Isla Allen , loan_13 , 31000 , 13950.0 , 0.45 , 6
Isla Allen , loan_14 , 31000 , 20150.0 , 0.65 , 2
Isla Allen , loan_15 , 31000 , 17670.0 , 0.57 , 5
Isla Allen , loan_16 , 31000 , 19840.0 , 0.64 , 8
Isla Allen , loan_17 , 31000 , 17980.0 , 0.58 , 6
Isla Allen , loan_18 , 31000 , 19220.0 , 0.62 , 5
Charlie Stevens , loan_1 , 28000 , 10080.0 , 0.36 , 2
Charlie Stevens , loan_2 , 28000 , 12320.0 , 0.44 , 1
Charlie Stevens , loan_3 , 28000 , 14000.0 , 0.5 , 1
Charlie Stevens , loan_4 , 28000 , 12320.0 , 0.44 , 2
Charlie Stevens , loan_5 , 28000 , 9800.0 , 0.35 , 4
Charlie Stevens , loan_6 , 28000 , 9800.0 , 0.35 , 5
Charlie Stevens , loan_7 , 28000 , 14280.0 , 0.51 , 3
Charlie Stevens , loan_8 , 28000 , 13160.0 , 0.47 , 1
Charlie Stevens , loan_9 , 28000 , 9800.0 , 0.35 , 1
Charlie Stevens , loan_10 , 28000 , 9800.0 , 0.35 , 8
Charlie Stevens , loan_11 , 28000 , 14840.0 , 0.53 , 11
Charlie Stevens , loan_12 , 28000 , 13720.0 , 0.49 , 0
Charlie Stevens , loan_13 , 28000 , 14840.0 , 0.53 , 2
Charlie Stevens , loan_14 , 28000 , 13720.0 , 0.49 , 2
Theo Adams , loan_1 , 16000 , 3680.0 , 0.23 , 1
Theo Adams , loan_2 , 16000 , 5600.0 , 0.35 , 2
Theo Adams , loan_3 , 16000 , 3200.0 , 0.2 , 1
Theo Adams , loan_4 , 16000 , 4160.0 , 0.26 , 3
Theo Adams , loan_5 , 16000 , 6080.0 , 0.38 , 3
Theo Adams , loan_6 , 16000 , 3200.0 , 0.2 , 0
Theo Adams , loan_7 , 16000 , 4160.0 , 0.26 , 1
Theo Adams , loan_8 , 16000 , 3360.0 , 0.21 , 1
Theo Adams , loan_9 , 16000 , 4800.0 , 0.3 , 0
Theo Adams , loan_10 , 16000 , 5120.0 , 0.32 , 4
Theo Adams , loan_11 , 16000 , 5600.0 , 0.35 , 1
Theo Adams , loan_12 , 16000 , 5440.0 , 0.34 , 0
Theo Adams , loan_13 , 16000 , 5120.0 , 0.32 , 1
Theo Adams , loan_14 , 16000 , 5600.0 , 0.35 , 5
Theo Adams , loan_15 , 16000 , 3840.0 , 0.24 , 1
Theo Adams , loan_16 , 16000 , 4160.0 , 0.26 , 5
Theo Adams , loan_17 , 16000 , 5280.0 , 0.33 , 1
Theo Adams , loan_18 , 16000 , 6240.0 , 0.39 , 1
Theo Adams , loan_19 , 16000 , 5920.0 , 0.37 , 3
Lucas Lewis , loan_1 , 18000 , 3780.0 , 0.21 , 0
Lucas Lewis , loan_2 , 18000 , 4500.0 , 0.25 , 2
Lucas Lewis , loan_3 , 18000 , 6300.0 , 0.35 , 2
Lucas Lewis , loan_4 , 18000 , 5940.0 , 0.33 , 0
Lucas Lewis , loan_5 , 18000 , 6840.0 , 0.38 , 4
Lucas Lewis , loan_6 , 18000 , 7200.0 , 0.4 , 0
Lucas Lewis , loan_7 , 18000 , 4320.0 , 0.24 , 1
Lucas Lewis , loan_8 , 18000 , 4680.0 , 0.26 , 0
Lucas Lewis , loan_9 , 18000 , 5580.0 , 0.31 , 1
Lucas Lewis , loan_10 , 18000 , 6480.0 , 0.36 , 1
Lucas Lewis , loan_11 , 18000 , 6120.0 , 0.34 , 0
Lucas Lewis , loan_12 , 18000 , 4500.0 , 0.25 , 1
Lucas Lewis , loan_13 , 18000 , 4320.0 , 0.24 , 1
Lucas Lewis , loan_14 , 18000 , 5400.0 , 0.3 , 1
Lucas Lewis , loan_15 , 18000 , 6480.0 , 0.36 , 1
Lucas Lewis , loan_16 , 18000 , 6300.0 , 0.35 , 0
Sophia Allen , loan_1 , 37000 , 9250.0 , 0.25 , 3
Sophia Allen , loan_2 , 37000 , 7400.0 , 0.2 , 0
Sophia Allen , loan_3 , 37000 , 14060.0 , 0.38 , 0
Sophia Allen , loan_4 , 37000 , 14060.0 , 0.38 , 0
Sophia Allen , loan_5 , 37000 , 11470.0 , 0.31 , 1
Sophia Allen , loan_6 , 37000 , 13320.0 , 0.36 , 3
Sophia Allen , loan_7 , 37000 , 11470.0 , 0.31 , 3
Sophia Allen , loan_8 , 37000 , 7770.0 , 0.21 , 3
Sophia Allen , loan_9 , 37000 , 11840.0 , 0.32 , 0
Sophia Allen , loan_10 , 37000 , 14430.0 , 0.39 , 2
Sophia Allen , loan_11 , 37000 , 11470.0 , 0.31 , 1
Sophia Allen , loan_12 , 37000 , 13690.0 , 0.37 , 2
Sophia Allen , loan_13 , 37000 , 7770.0 , 0.21 , 4
Sophia Allen , loan_14 , 37000 , 12210.0 , 0.33 , 1
William Black , loan_1 , 23000 , 9200.0 , 0.4 , 3
William Black , loan_2 , 23000 , 12420.0 , 0.54 , 3
William Black , loan_3 , 23000 , 12190.0 , 0.53 , 4
William Black , loan_4 , 23000 , 11040.0 , 0.48 , 9
William Black , loan_5 , 23000 , 8510.0 , 0.37 , 1
William Black , loan_6 , 23000 , 12650.0 , 0.55 , 1
William Black , loan_7 , 23000 , 8050.0 , 0.35 , 2
William Black , loan_8 , 23000 , 10580.0 , 0.46 , 2
William Black , loan_9 , 23000 , 11040.0 , 0.48 , 1
William Black , loan_10 , 23000 , 12420.0 , 0.54 , 5
William Black , loan_11 , 23000 , 12650.0 , 0.55 , 6
William Black , loan_12 , 23000 , 9890.0 , 0.43 , 5
William Black , loan_13 , 23000 , 11960.0 , 0.52 , 1
William Black , loan_14 , 23000 , 8740.0 , 0.38 , 3
William Black , loan_15 , 23000 , 8510.0 , 0.37 , 4
William Black , loan_16 , 23000 , 8280.0 , 0.36 , 6
William Black , loan_17 , 23000 , 11270.0 , 0.49 , 5
William Black , loan_18 , 23000 , 9660.0 , 0.42 , 2
Arthur Burton , loan_1 , 40000 , 24400.0 , 0.61 , 2
Arthur Burton , loan_2 , 40000 , 22400.0 , 0.56 , 2
Arthur Burton , loan_3 , 40000 , 25200.0 , 0.63 , 3
Arthur Burton , loan_4 , 40000 , 23200.0 , 0.58 , 6
Arthur Burton , loan_5 , 40000 , 25600.0 , 0.64 , 2
Arthur Burton , loan_6 , 40000 , 19600.0 , 0.49 , 7
Arthur Burton , loan_7 , 40000 , 21600.0 , 0.54 , 9
Arthur Burton , loan_8 , 40000 , 23200.0 , 0.58 , 11
Arthur Burton , loan_9 , 40000 , 22400.0 , 0.56 , 11
Arthur Burton , loan_10 , 40000 , 25200.0 , 0.63 , 6
Arthur Burton , loan_11 , 40000 , 23200.0 , 0.58 , 5
Arthur Burton , loan_12 , 40000 , 21600.0 , 0.54 , 9
Arthur Burton , loan_13 , 40000 , 25600.0 , 0.64 , 6
Arthur Burton , loan_14 , 40000 , 22000.0 , 0.55 , 2
Noah Baker , loan_1 , 37000 , 9990.0 , 0.27 , 5
Noah Baker , loan_2 , 37000 , 12950.0 , 0.35 , 3
Noah Baker , loan_3 , 37000 , 10730.0 , 0.29 , 2
Noah Baker , loan_4 , 37000 , 7770.0 , 0.21 , 1
Noah Baker , loan_5 , 37000 , 9620.0 , 0.26 , 3
Noah Baker , loan_6 , 37000 , 8510.0 , 0.23 , 0
Noah Baker , loan_7 , 37000 , 11470.0 , 0.31 , 1
Noah Baker , loan_8 , 37000 , 10360.0 , 0.28 , 1
Noah Baker , loan_9 , 37000 , 8880.0 , 0.24 , 1
Noah Baker , loan_10 , 37000 , 14800.0 , 0.4 , 1
Noah Baker , loan_11 , 37000 , 12210.0 , 0.33 , 0
Noah Baker , loan_12 , 37000 , 12580.0 , 0.34 , 0
Noah Baker , loan_13 , 37000 , 9250.0 , 0.25 , 0
Noah Baker , loan_14 , 37000 , 7770.0 , 0.21 , 1
Noah Baker , loan_15 , 37000 , 8140.0 , 0.22 , 0
Noah Baker , loan_16 , 37000 , 14800.0 , 0.4 , 1
Archie Baker , loan_1 , 13000 , 6890.0 , 0.53 , 5
Archie Baker , loan_2 , 13000 , 5720.0 , 0.44 , 2
Archie Baker , loan_3 , 13000 , 5590.0 , 0.43 , 4
Archie Baker , loan_4 , 13000 , 5330.0 , 0.41 , 1
Archie Baker , loan_5 , 13000 , 4550.0 , 0.35 , 7
Archie Baker , loan_6 , 13000 , 5200.0 , 0.4 , 3
Archie Baker , loan_7 , 13000 , 5330.0 , 0.41 , 4
Archie Baker , loan_8 , 13000 , 5460.0 , 0.42 , 0
Archie Baker , loan_9 , 13000 , 5850.0 , 0.45 , 3
Archie Baker , loan_10 , 13000 , 4940.0 , 0.38 , 4
Archie Baker , loan_11 , 13000 , 4810.0 , 0.37 , 6
Archie Baker , loan_12 , 13000 , 4550.0 , 0.35 , 0
Archie Baker , loan_13 , 13000 , 4680.0 , 0.36 , 2
Archie Baker , loan_14 , 13000 , 6630.0 , 0.51 , 1
Archie Baker , loan_15 , 13000 , 6500.0 , 0.5 , 0
Arthur Baker , loan_1 , 32000 , 16000.0 , 0.5 , 7
Arthur Baker , loan_2 , 32000 , 16640.0 , 0.52 , 0
Arthur Baker , loan_3 , 32000 , 16640.0 , 0.52 , 1
Arthur Baker , loan_4 , 32000 , 16000.0 , 0.5 , 8
Arthur Baker , loan_5 , 32000 , 15040.0 , 0.47 , 8
Arthur Baker , loan_6 , 32000 , 16320.0 , 0.51 , 4
Arthur Baker , loan_7 , 32000 , 20480.0 , 0.64 , 5
Arthur Baker , loan_8 , 32000 , 16640.0 , 0.52 , 1
Arthur Baker , loan_9 , 32000 , 20480.0 , 0.64 , 5
Arthur Baker , loan_10 , 32000 , 20480.0 , 0.64 , 10
Arthur Baker , loan_11 , 32000 , 19200.0 , 0.6 , 10
Arthur Baker , loan_12 , 32000 , 16000.0 , 0.5 , 12
Arthur Baker , loan_13 , 32000 , 14400.0 , 0.45 , 2
Arthur Baker , loan_14 , 32000 , 17920.0 , 0.56 , 8
Arthur Baker , loan_15 , 32000 , 20480.0 , 0.64 , 8
Arthur Baker , loan_16 , 32000 , 15680.0 , 0.49 , 6
Emily Burton , loan_1 , 14000 , 6440.0 , 0.46 , 7
Emily Burton , loan_2 , 14000 , 8680.0 , 0.62 , 0
Emily Burton , loan_3 , 14000 , 8820.0 , 0.63 , 4
Emily Burton , loan_4 , 14000 , 6580.0 , 0.47 , 3
Emily Burton , loan_5 , 14000 , 8820.0 , 0.63 , 9
Emily Burton , loan_6 , 14000 , 8960.0 , 0.64 , 6
Emily Burton , loan_7 , 14000 , 8820.0 , 0.63 , 6
Emily Burton , loan_8 , 14000 , 6580.0 , 0.47 , 10
Emily Burton , loan_9 , 14000 , 8260.0 , 0.59 , 5
Emily Burton , loan_10 , 14000 , 6580.0 , 0.47 , 9
Emily Burton , loan_11 , 14000 , 6300.0 , 0.45 , 9
Emily Burton , loan_12 , 14000 , 8540.0 , 0.61 , 8
Emily Burton , loan_13 , 14000 , 8820.0 , 0.63 , 6
Emily Burton , loan_14 , 14000 , 6440.0 , 0.46 , 5
Emily Burton , loan_15 , 14000 , 6720.0 , 0.48 , 3
Emily Burton , loan_16 , 14000 , 8120.0 , 0.58 , 2
Rosie Harris , loan_1 , 23000 , 12650.0 , 0.55 , 2
Rosie Harris , loan_2 , 23000 , 12650.0 , 0.55 , 3
Rosie Harris , loan_3 , 23000 , 11500.0 , 0.5 , 2
Rosie Harris , loan_4 , 23000 , 11270.0 , 0.49 , 4
Rosie Harris , loan_5 , 23000 , 12420.0 , 0.54 , 3
Rosie Harris , loan_6 , 23000 , 10810.0 , 0.47 , 5
Rosie Harris , loan_7 , 23000 , 9890.0 , 0.43 , 3
Rosie Harris , loan_8 , 23000 , 10810.0 , 0.47 , 5
Rosie Harris , loan_9 , 23000 , 9430.0 , 0.41 , 5
Rosie Harris , loan_10 , 23000 , 9890.0 , 0.43 , 8
Rosie Harris , loan_11 , 23000 , 12650.0 , 0.55 , 5
Rosie Harris , loan_12 , 23000 , 12420.0 , 0.54 , 1
Rosie Harris , loan_13 , 23000 , 10350.0 , 0.45 , 3
Rosie Harris , loan_14 , 23000 , 10580.0 , 0.46 , 2
Rosie Harris , loan_15 , 23000 , 8280.0 , 0.36 , 4
Rosie Harris , loan_16 , 23000 , 11730.0 , 0.51 , 5
Alfie Harris , loan_1 , 24000 , 14640.0 , 0.61 , 7
Alfie Harris , loan_2 , 24000 , 13200.0 , 0.55 , 5
