Ivy Allen , loan_1 , 12000 , 39600 , 3.3 , 7
Theo Burton , loan_3 , 32000 , 86400 , 2.7 , 2
Theo Burton , loan_4 , 32000 , 63360 , 1.98 , 0
Theo Burton , loan_5 , 32000 , 130240 , 4.07 , 3
Theo Burton , loan_6 , 32000 , 92160 , 2.88 , 0
Theo Burton , loan_7 , 32000 , 44800 , 1.4 , 0
Theo Burton , loan_8 , 32000 , 59200 , 1.85 , 1
Theo Burton , loan_9 , 32000 , 26880 , 0.84 , 1
Theo Burton , loan_10 , 32000 , 91520 , 2.86 , 1
Theo Burton , loan_11 , 32000 , 33280 , 1.04 , 2
Theo Burton , loan_12 , 32000 , 119680 , 3.74 , 0
Theo Burton , loan_13 , 32000 , 84480 , 2.64 , 0
Theo Burton , loan_14 , 32000 , 56000 , 1.75 , 3
Theo Burton , loan_15 , 32000 , 76800 , 2.4 , 1
Charlie Davidson , loan_1 , 40000 , 140400 , 3.51 , 0
Charlie Davidson , loan_2 , 40000 , 81200 , 2.03 , 0
Charlie Davidson , loan_3 , 40000 , 103600 , 2.59 , 2
Charlie Davidson , loan_4 , 40000 , 134400 , 3.36 , 3
Charlie Davidson , loan_5 , 40000 , 82800 , 2.07 , 0
Charlie Davidson , loan_6 , 40000 , 64000 , 1.6 , 1
Charlie Davidson , loan_7 , 40000 , 129600 , 3.24 , 2
Charlie Davidson , loan_8 , 40000 , 96000 , 2.4 , 1
Charlie Davidson , loan_9 , 40000 , 67200 , 1.68 , 2
Charlie Davidson , loan_10 , 40000 , 58000 , 1.45 , 1
Charlie Davidson , loan_11 , 40000 , 153600 , 3.84 , 0
Charlie Davidson , loan_12 , 40000 , 75600 , 1.89 , 0
Charlie Davidson , loan_13 , 40000 , 106400 , 2.66 , 2
Charlie Davidson , loan_14 , 40000 , 57600 , 1.44 , 0
Charlie Davidson , loan_15 , 40000 , 70000 , 1.75 , 0
Tommy White , loan_1 , 15000 , 53550 , 3.57 , 9
Tommy White , loan_2 , 15000 , 48300 , 3.22 , 4
Tommy White , loan_3 , 15000 , 52200 , 3.48 , 4
Tommy White , loan_4 , 15000 , 61200 , 4.08 , 7
Tommy White , loan_5 , 15000 , 80850 , 5.39 , 8
Tommy White , loan_6 , 15000 , 79200 , 5.28 , 3
Tommy White , loan_7 , 15000 , 71550 , 4.77 , 7
Tommy White , loan_8 , 15000 , 56700 , 3.78 , 3
Tommy White , loan_9 , 15000 , 33000 , 2.2 , 0
Tommy White , loan_10 , 15000 , 82500 , 5.5 , 0
Tommy White , loan_11 , 15000 , 47700 , 3.18 , 4
Tommy White , loan_12 , 15000 , 89100 , 5.94 , 5
Tommy White , loan_13 , 15000 , 34800 , 2.32 , 1
Tommy White , loan_14 , 15000 , 68850 , 4.59 , 4
Tommy White , loan_15 , 15000 , 70800 , 4.72 , 10
Tommy White , loan_16 , 15000 , 108000 , 7.2 , 15
Noah Holmes , loan_1 , 27000 , 97200 , 3.6 , 1
Noah Holmes , loan_2 , 27000 , 94500 , 3.5 , 3
Noah Holmes , loan_3 , 27000 , 130680 , 4.84 , 3
Noah Holmes , loan_4 , 27000 , 102060 , 3.78 , 1
Noah Holmes , loan_5 , 27000 , 47520 , 1.76 , 2
Noah Holmes , loan_6 , 27000 , 88560 , 3.28 , 2
Noah Holmes , loan_7 , 27000 , 77490 , 2.87 , 6
Noah Holmes , loan_8 , 27000 , 133650 , 4.95 , 1
Noah Holmes , loan_9 , 27000 , 136620 , 5.06 , 4
Noah Holmes , loan_10 , 27000 , 113400 , 4.2 , 8
Noah Holmes , loan_11 , 27000 , 84240 , 3.12 , 3
Noah Holmes , loan_12 , 27000 , 66150 , 2.45 , 2
Noah Holmes , loan_13 , 27000 , 114210 , 4.23 , 3
Noah Holmes , loan_14 , 27000 , 67500 , 2.5 , 2
Noah Holmes , loan_15 , 27000 , 178200 , 6.6 , 4
Isla Adams , loan_1 , 17000 , 58310 , 3.43 , 0
Isla Adams , loan_2 , 17000 , 43350 , 2.55 , 2
Isla Adams , loan_3 , 17000 , 24480 , 1.44 , 3
Isla Adams , loan_4 , 17000 , 70380 , 4.14 , 2
Isla Adams , loan_5 , 17000 , 56100 , 3.3 , 6
Isla Adams , loan_6 , 17000 , 84150 , 4.95 , 1
Isla Adams , loan_7 , 17000 , 57120 , 3.36 , 2
Isla Adams , loan_8 , 17000 , 73440 , 4.32 , 4
Isla Adams , loan_9 , 17000 , 41650 , 2.45 , 1
Isla Adams , loan_10 , 17000 , 33320 , 1.96 , 3
Isla Adams , loan_11 , 17000 , 31450 , 1.85 , 4
Isla Adams , loan_12 , 17000 , 44880 , 2.64 , 3
Isla Adams , loan_13 , 17000 , 54740 , 3.22 , 5
Isla Adams , loan_14 , 17000 , 106080 , 6.24 , 7
Isla Adams , loan_15 , 17000 , 70380 , 4.14 , 4
Isla Adams , loan_16 , 17000 , 83640 , 4.92 , 3
Isla Adams , loan_17 , 17000 , 63070 , 3.71 , 2
Isla Adams , loan_18 , 17000 , 55080 , 3.24 , 3
Isla Allen , loan_1 , 31000 , 175770 , 5.67 , 8
Isla Allen , loan_2 , 31000 , 64480 , 2.08 , 6
Isla Allen , loan_3 , 31000 , 113460 , 3.66 , 0
Isla Allen , loan_4 , 31000 , 151280 , 4.88 , 4
Isla Allen , loan_5 , 31000 , 180730 , 5.83 , 5
Isla Allen , loan_6 , 31000 , 85560 , 2.76 , 4
Isla Allen , loan_7 , 31000 , 74400 , 2.4 , 1
Isla Allen , loan_8 , 31000 , 177320 , 5.72 , 6
Isla Allen , loan_9 , 31000 , 77500 , 2.5 , 4
Isla Allen , loan_10 , 31000 , 113460 , 3.66 , 9
Isla Allen , loan_11 , 31000 , 146320 , 4.72 , 2
Isla Allen , loan_12 , 31000 , 126480 , 4.08 , 6
Isla Allen , loan_13 , 31000 , 111600 , 3.6 , 6
Isla Allen , loan_14 , 31000 , 201500 , 6.5 , 2
Isla Allen , loan_15 , 31000 , 123690 , 3.99 , 5
Isla Allen , loan_16 , 31000 , 99200 , 3.2 , 8
Isla Allen , loan_17 , 31000 , 215760 , 6.96 , 6
Isla Allen , loan_18 , 31000 , 192200 , 6.2 , 5
Charlie Stevens , loan_1 , 28000 , 110880 , 3.96 , 2
Charlie Stevens , loan_2 , 28000 , 147840 , 5.28 , 1
Charlie Stevens , loan_3 , 28000 , 84000 , 3.0 , 1
Charlie Stevens , loan_4 , 28000 , 86240 , 3.08 , 2
Charlie Stevens , loan_5 , 28000 , 117600 , 4.2 , 4
Charlie Stevens , loan_6 , 28000 , 78400 , 2.8 , 5
Charlie Stevens , loan_7 , 28000 , 114240 , 4.08 , 3
Charlie Stevens , loan_8 , 28000 , 92120 , 3.29 , 1
Charlie Stevens , loan_9 , 28000 , 49000 , 1.75 , 1
Charlie Stevens , loan_10 , 28000 , 107800 , 3.85 , 8
Charlie Stevens , loan_11 , 28000 , 163240 , 5.83 , 11
Charlie Stevens , loan_12 , 28000 , 164640 , 5.88 , 0
Charlie Stevens , loan_13 , 28000 , 74200 , 2.65 , 2
Charlie Stevens , loan_14 , 28000 , 123480 , 4.41 , 2
Theo Adams , loan_1 , 16000 , 14720 , 0.92 , 1
Theo Adams , loan_2 , 16000 , 50400 , 3.15 , 2
Theo Adams , loan_3 , 16000 , 38400 , 2.4 , 1
Theo Adams , loan_4 , 16000 , 24960 , 1.56 , 3
Theo Adams , loan_5 , 16000 , 48640 , 3.04 , 3
Theo Adams , loan_6 , 16000 , 16000 , 1.0 , 0
Theo Adams , loan_7 , 16000 , 16640 , 1.04 , 1
Theo Adams , loan_8 , 16000 , 26880 , 1.68 , 1
Theo Adams , loan_9 , 16000 , 19200 , 1.2 , 0
Theo Adams , loan_10 , 16000 , 30720 , 1.92 , 4
Theo Adams , loan_11 , 16000 , 33600 , 2.1 , 1
Theo Adams , loan_12 , 16000 , 32640 , 2.04 , 0
Theo Adams , loan_13 , 16000 , 35840 , 2.24 , 1
Theo Adams , loan_14 , 16000 , 61600 , 3.85 , 5
Theo Adams , loan_15 , 16000 , 30720 , 1.92 , 1
Theo Adams , loan_16 , 16000 , 33280 , 2.08 , 5
Theo Adams , loan_17 , 16000 , 36960 , 2.31 , 1
Theo Adams , loan_18 , 16000 , 62400 , 3.9 , 1
Theo Adams , loan_19 , 16000 , 59200 , 3.7 , 3
Lucas Lewis , loan_1 , 18000 , 18900 , 1.05 , 0
Lucas Lewis , loan_2 , 18000 , 49500 , 2.75 , 2
Lucas Lewis , loan_3 , 18000 , 31500 , 1.75 , 2
Lucas Lewis , loan_4 , 18000 , 47520 , 2.64 , 0
Lucas Lewis , loan_5 , 18000 , 82080 , 4.56 , 4
Lucas Lewis , loan_6 , 18000 , 64800 , 3.6 , 0
Lucas Lewis , loan_7 , 18000 , 34560 , 1.92 , 1
Lucas Lewis , loan_8 , 18000 , 18720 , 1.04 , 0
Lucas Lewis , loan_9 , 18000 , 66960 , 3.72 , 1
Lucas Lewis , loan_10 , 18000 , 32400 , 1.8 , 1
Lucas Lewis , loan_11 , 18000 , 30600 , 1.7 , 0
Lucas Lewis , loan_12 , 18000 , 31500 , 1.75 , 1
Lucas Lewis , loan_13 , 18000 , 34560 , 1.92 , 1
Lucas Lewis , loan_14 , 18000 , 59400 , 3.3 , 1
Lucas Lewis , loan_15 , 18000 , 58320 , 3.24 , 1
Lucas Lewis , loan_16 , 18000 , 44100 , 2.45 , 0
Sophia Allen , loan_1 , 37000 , 92500 , 2.5 , 3
Sophia Allen , loan_2 , 37000 , 37000 , 1.0 , 0
Sophia Allen , loan_3 , 37000 , 84360 , 2.28 , 0
Sophia Allen , loan_4 , 37000 , 112480 , 3.04 , 0
Sophia Allen , loan_5 , 37000 , 126170 , 3.41 , 1
Sophia Allen , loan_6 , 37000 , 93240 , 2.52 , 3
Sophia Allen , loan_7 , 37000 , 137640 , 3.72 , 3
Sophia Allen , loan_8 , 37000 , 77700 , 2.1 , 3
Sophia Allen , loan_9 , 37000 , 106560 , 2.88 , 0
Sophia Allen , loan_10 , 37000 , 158730 , 4.29 , 2
Sophia Allen , loan_11 , 37000 , 57350 , 1.55 , 1
Sophia Allen , loan_12 , 37000 , 164280 , 4.44 , 2
Sophia Allen , loan_13 , 37000 , 93240 , 2.52 , 4
Sophia Allen , loan_14 , 37000 , 48840 , 1.32 , 1
William Black , loan_1 , 23000 , 55200 , 2.4 , 3
William Black , loan_2 , 23000 , 136620 , 5.94 , 3
William Black , loan_3 , 23000 , 121900 , 5.3 , 4
William Black , loan_4 , 23000 , 55200 , 2.4 , 9
William Black , loan_5 , 23000 , 51060 , 2.22 , 1
William Black , loan_6 , 23000 , 75900 , 3.3 , 1
William Black , loan_7 , 23000 , 56350 , 2.45 , 2
William Black , loan_8 , 23000 , 84640 , 3.68 , 2
William Black , loan_9 , 23000 , 55200 , 2.4 , 1
William Black , loan_10 , 23000 , 111780 , 4.86 , 5
William Black , loan_11 , 23000 , 101200 , 4.4 , 6
William Black , loan_12 , 23000 , 49450 , 2.15 , 5
William Black , loan_13 , 23000 , 47840 , 2.08 , 1
William Black , loan_14 , 23000 , 78660 , 3.42 , 3
William Black , loan_15 , 23000 , 68080 , 2.96 , 4
William Black , loan_16 , 23000 , 99360 , 4.32 , 6
William Black , loan_17 , 23000 , 123970 , 5.39 , 5
William Black , loan_18 , 23000 , 106260 , 4.62 , 2
Arthur Burton , loan_1 , 40000 , 122000 , 3.05 , 2
Arthur Burton , loan_2 , 40000 , 89600 , 2.24 , 2
Arthur Burton , loan_3 , 40000 , 126000 , 3.15 , 3
Arthur Burton , loan_4 , 40000 , 185600 , 4.64 , 6
Arthur Burton , loan_5 , 40000 , 307200 , 7.68 , 2
Arthur Burton , loan_6 , 40000 , 235200 , 5.88 , 7
Arthur Burton , loan_7 , 40000 , 237600 , 5.94 , 9
Arthur Burton , loan_8 , 40000 , 255200 , 6.38 , 11
Arthur Burton , loan_9 , 40000 , 268800 , 6.72 , 11
Arthur Burton , loan_10 , 40000 , 277200 , 6.93 , 6
Arthur Burton , loan_11 , 40000 , 255200 , 6.38 , 5
Arthur Burton , loan_12 , 40000 , 259200 , 6.48 , 9
Arthur Burton , loan_13 , 40000 , 256000 , 6.4 , 6
Arthur Burton , loan_14 , 40000 , 242000 , 6.05 , 2
Noah Baker , loan_1 , 37000 , 69930 , 1.89 , 5
Noah Baker , loan_2 , 37000 , 64750 , 1.75 , 3
Noah Baker , loan_3 , 37000 , 128760 , 3.48 , 2
Noah Baker , loan_4 , 37000 , 54390 , 1.47 , 1
Noah Baker , loan_5 , 37000 , 76960 , 2.08 , 3
Noah Baker , loan_6 , 37000 , 102120 , 2.76 , 0
Noah Baker , loan_7 , 37000 , 91760 , 2.48 , 1
Noah Baker , loan_8 , 37000 , 72520 , 1.96 , 1
Noah Baker , loan_9 , 37000 , 44400 , 1.2 , 1
Noah Baker , loan_10 , 37000 , 162800 , 4.4 , 1
Noah Baker , loan_11 , 37000 , 109890 , 2.97 , 0
Noah Baker , loan_12 , 37000 , 113220 , 3.06 , 0
Noah Baker , loan_13 , 37000 , 46250 , 1.25 , 0
Noah Baker , loan_14 , 37000 , 46620 , 1.26 , 1
Noah Baker , loan_15 , 37000 , 73260 , 1.98 , 0
Noah Baker , loan_16 , 37000 , 59200 , 1.6 , 1
Archie Baker , loan_1 , 13000 , 55120 , 4.24 , 5
Archie Baker , loan_2 , 13000 , 34320 , 2.64 , 2
Archie Baker , loan_3 , 13000 , 44720 , 3.44 , 4
Archie Baker , loan_4 , 13000 , 63960 , 4.92 , 1
Archie Baker , loan_5 , 13000 , 45500 , 3.5 , 7
Archie Baker , loan_6 , 13000 , 36400 , 2.8 , 3
Archie Baker , loan_7 , 13000 , 63960 , 4.92 , 4
Archie Baker , loan_8 , 13000 , 21840 , 1.68 , 0
Archie Baker , loan_9 , 13000 , 70200 , 5.4 , 3
Archie Baker , loan_10 , 13000 , 59280 , 4.56 , 4
Archie Baker , loan_11 , 13000 , 52910 , 4.07 , 6
Archie Baker , loan_12 , 13000 , 40950 , 3.15 , 0
Archie Baker , loan_13 , 13000 , 37440 , 2.88 , 2
Archie Baker , loan_14 , 13000 , 26520 , 2.04 , 1
Archie Baker , loan_15 , 13000 , 39000 , 3.0 , 0
Arthur Baker , loan_1 , 32000 , 128000 , 4.0 , 7
Arthur Baker , loan_2 , 32000 , 83200 , 2.6 , 0
Arthur Baker , loan_3 , 32000 , 66560 , 2.08 , 1
Arthur Baker , loan_4 , 32000 , 192000 , 6.0 , 8
Arthur Baker , loan_5 , 32000 , 180480 , 5.64 , 8
Arthur Baker , loan_6 , 32000 , 65280 , 2.04 , 4
Arthur Baker , loan_7 , 32000 , 122880 , 3.84 , 5
Arthur Baker , loan_8 , 32000 , 83200 , 2.6 , 1
Arthur Baker , loan_9 , 32000 , 225280 , 7.04 , 5
Arthur Baker , loan_10 , 32000 , 245760 , 7.68 , 10
Arthur Baker , loan_11 , 32000 , 153600 , 4.8 , 10
Arthur Baker , loan_12 , 32000 , 192000 , 6.0 , 12
Arthur Baker , loan_13 , 32000 , 115200 , 3.6 , 2
Arthur Baker , loan_14 , 32000 , 215040 , 6.72 , 8
Arthur Baker , loan_15 , 32000 , 143360 , 4.48 , 8
Arthur Baker , loan_16 , 32000 , 188160 , 5.88 , 6
Emily Burton , loan_1 , 14000 , 64400 , 4.6 , 7
Emily Burton , loan_2 , 14000 , 34720 , 2.48 , 0
Emily Burton , loan_3 , 14000 , 79380 , 5.67 , 4
Emily Burton , loan_4 , 14000 , 39480 , 2.82 , 3
Emily Burton , loan_5 , 14000 , 97020 , 6.93 , 9
Emily Burton , loan_6 , 14000 , 80640 , 5.76 , 6
Emily Burton , loan_7 , 14000 , 61740 , 4.41 , 6
Emily Burton , loan_8 , 14000 , 52640 , 3.76 , 10
Emily Burton , loan_9 , 14000 , 41300 , 2.95 , 5
Emily Burton , loan_10 , 14000 , 52640 , 3.76 , 9
Emily Burton , loan_11 , 14000 , 37800 , 2.7 , 9
Emily Burton , loan_12 , 14000 , 76860 , 5.49 , 8
Emily Burton , loan_13 , 14000 , 35280 , 2.52 , 6
Emily Burton , loan_14 , 14000 , 70840 , 5.06 , 5
Emily Burton , loan_15 , 14000 , 60480 , 4.32 , 3
Emily Burton , loan_16 , 14000 , 89320 , 6.38 , 2
Rosie Harris , loan_1 , 23000 , 75900 , 3.3 , 2
Rosie Harris , loan_2 , 23000 , 139150 , 6.05 , 3
Rosie Harris , loan_3 , 23000 , 69000 , 3.0 , 2
Rosie Harris , loan_4 , 23000 , 112700 , 4.9 , 4
Rosie Harris , loan_5 , 23000 , 86940 , 3.78 , 3
Rosie Harris , loan_6 , 23000 , 86480 , 3.76 , 5
Rosie Harris , loan_7 , 23000 , 89010 , 3.87 , 3
Rosie Harris , loan_8 , 23000 , 43240 , 1.88 , 5
Rosie Harris , loan_9 , 23000 , 113160 , 4.92 , 5
Rosie Harris , loan_10 , 23000 , 69230 , 3.01 , 8
Rosie Harris , loan_11 , 23000 , 101200 , 4.4 , 5
Rosie Harris , loan_12 , 23000 , 49680 , 2.16 , 1
Rosie Harris , loan_13 , 23000 , 93150 , 4.05 , 3
Rosie Harris , loan_14 , 23000 , 95220 , 4.14 , 2
Rosie Harris , loan_15 , 23000 , 41400 , 1.8 , 4
Rosie Harris , loan_16 , 23000 , 140760 , 6.12 , 5
Alfie Harris , loan_1 , 24000 , 146400 , 6.1 , 7
Alfie Harris , loan_2 , 24000 , 158400 , 6.6 , 5
Alfie Harris , loan_3 , 24000 , 105840 , 4.41 , 2
Alfie Harris , loan_4 , 24000 , 121440 , 5.06 , 9
Alfie Harris , loan_5 , 24000 , 113280 , 4.72 , 8
Alfie Harris , loan_6 , 24000 , 76800 , 3.2 , 0
Alfie Harris , loan_7 , 24000 , 64800 , 2.7 , 1
Alfie Harris , loan_8 , 24000 , 161040 , 6.71 , 11
Alfie Harris , loan_9 , 24000 , 101520 , 4.23 , 4
Alfie Harris , loan_10 , 24000 , 84000 , 3.5 , 4
Alfie Harris , loan_11 , 24000 , 108000 , 4.5 , 5
Alfie Harris , loan_12 , 24000 , 111360 , 4.64 , 4
Alfie Harris , loan_13 , 24000 , 187200 , 7.8 , 14
Alfie Harris , loan_14 , 24000 , 72000 , 3.0 , 14
Alfie Harris , loan_15 , 24000 , 133920 , 5.58 , 3
Evie Harris , loan_1 , 15000 , 102300 , 6.82 , 1
Evie Harris , loan_2 , 15000 , 54900 , 3.66 , 3
Evie Harris , loan_3 , 15000 , 32400 , 2.16 , 7
Evie Harris , loan_4 , 15000 , 43500 , 2.9 , 1
Evie Harris , loan_5 , 15000 , 35250 , 2.35 , 2
Evie Harris , loan_6 , 15000 , 41400 , 2.76 , 3
Evie Harris , loan_7 , 15000 , 102600 , 6.84 , 3
Evie Harris , loan_8 , 15000 , 67200 , 4.48 , 6
Evie Harris , loan_9 , 15000 , 85500 , 5.7 , 7
Evie Harris , loan_10 , 15000 , 111600 , 7.44 , 10
Evie Harris , loan_11 , 15000 , 80850 , 5.39 , 15
Evie Harris , loan_12 , 15000 , 30000 , 2.0 , 1
